pah,steroid,type,n,df,pct,lo,hi,t,p,fdr
ln_URXP10,17-OH-progesterone,free,528,15,-12.031161775826,-24.1881527098011,2.07529265035267,-1.83707955782502,0.0860910390090905,0.286970130030302
ln_URXP25,17-OH-progesterone,free,528,15,-5.49961709642655,-16.801283740448,7.33726156377699,-0.946583579195451,0.358851551059899,0.817328407431199
ln_URXP10,AMH,free,520,15,-3.994266281014,-16.4230487718441,10.282808495361,-0.626677987870541,0.540291494155718,0.779213723258212
ln_URXP25,AMH,free,520,15,3.91886843134239,-10.6376457582639,20.8465388774078,0.542926384142621,0.595156663264292,0.817328407431199
ln_URXP10,Androstenedione,free,528,15,-4.08868736974004,-11.15835723818,3.54355912937665,-1.16209776608913,0.263353064449854,0.658382661124635
ln_URXP25,Androstenedione,free,528,15,-2.91617144428527,-12.1330048399395,7.26746430632033,-0.632387751757072,0.536654676703513,0.817328407431199
ln_URXP10,Estradiol,free,528,15,-0.517994815823719,-6.9421640787975,6.34966155719077,-0.16582122446099,0.870511971851955,0.870511971851955
ln_URXP25,Estradiol,free,528,15,-2.25971827124206,-7.79881921006084,3.6121510654167,-0.835046100046393,0.41679413502792,0.817328407431199
ln_URXP10,E1 (estrone),free,524,15,5.26898665757922,1.3706946867881,9.31719059589202,2.90042779573311,0.0109851458047032,0.0549257290235161
ln_URXP25,E1 (estrone),free,524,15,-0.607790935556452,-4.97391279145248,3.95893920192332,-0.289261537755825,0.776340878486992,0.817328407431199
ln_URXP10,E1S (estrone SULFATE),SULFATED,524,15,28.2984746890144,12.2765557958627,46.6067291684255,3.98168566839798,0.00120332887971213,0.0120332887971213
ln_URXP25,E1S (estrone SULFATE),SULFATED,524,15,22.7776576197815,7.80206136251673,39.8336267421479,3.36246634950997,0.00427461256270192,0.0427461256270192
ln_URXP10,Progesterone,free,525,15,-7.44931569698444,-34.1776700921788,30.1325732004916,-0.48416907317344,0.635258875273492,0.794073594091865
ln_URXP25,Progesterone,free,525,15,-5.11159301541122,-26.873775379963,23.1269606335709,-0.429282372096798,0.673819817006354,0.817328407431199
ln_URXP10,SHBG,binding-protein,523,15,1.06556129223281,-7.62870113067741,10.5781536509965,0.251150271610584,0.805105916674625,0.870511971851955
ln_URXP25,SHBG,binding-protein,523,15,0.596424218657554,-4.23559007532711,5.67224894446796,0.257482307755348,0.800305252167942,0.817328407431199
