outcome,exposure,n,beta,se,p_value,scale,percent_change,percent_low,percent_high,status,fdr,var,lod_var,abbrev,parent_pah,ring_count,role
ln_E1S_active_pool,ln_URXP06,529,0.06541610425069525,0.07464327283525367,0.3946404938438608,1.2269217373114802,8.356923599961718,-10.858109296865425,31.71386426107152,modeled,0.3946404938438608,URXP06,URDP06LC,1-OHPhe,Phenanthrene,3,core
ln_E1S_active_pool,ln_URXP10,529,0.15172707480115352,0.05224455539828358,0.0109020871533473,1.3450514025858413,22.639713782620152,5.580163100249069,42.455731787437536,modeled,0.01635313073002095,URXP10,URDP10LC,1-OHPyr,Pyrene,4,core
ln_E1S_active_pool,ln_URXP25,529,0.16188692883589526,0.04704641308005153,0.0036383884060686225,1.2729656758128867,22.884721184480327,8.158467100842781,39.61601995069142,modeled,0.010915165218205868,URXP25,URDP25LC,2/3-OHPhe,Phenanthrene,3,core
ln_E1S_E1,ln_URXP06,533,0.06343402094317104,0.0690874023746524,0.3730580112669858,1.2269217373114802,8.09373476212214,-9.773173466134377,29.498686185515567,modeled,0.3730580112669858,URXP06,URDP06LC,1-OHPhe,Phenanthrene,3,core
ln_E1S_E1,ln_URXP10,533,0.13664226613012576,0.047295590961702036,0.011240072340776971,1.3963446969733915,21.0217025802905,5.130973748020895,39.31434260788449,modeled,0.016860108511165456,URXP10,URDP10LC,1-OHPyr,Pyrene,4,core
ln_E1S_E1,ln_URXP25,533,0.15529399195191904,0.043021967510856955,0.0025742454104444646,1.2729656758128867,21.857716679695116,8.432106763451852,36.945629459944726,modeled,0.007722736231333394,URXP25,URDP25LC,2/3-OHPhe,Phenanthrene,3,core
ln_E1S_E2,ln_URXP06,533,0.07568732516233714,0.0806807968435827,0.3630494688829472,1.2216723814253365,9.687487616577295,-11.09682039285521,35.33087334786267,modeled,0.3630494688829472,URXP06,URDP06LC,1-OHPhe,Phenanthrene,3,core
ln_E1S_E2,ln_URXP10,533,0.17021885344893847,0.05998228041020655,0.012469926226534877,1.3450514025858413,25.728308057877115,5.864454210745551,49.31931180250611,modeled,0.018704889339802314,URXP10,URDP10LC,1-OHPyr,Pyrene,4,core
ln_E1S_E2,ln_URXP25,533,0.17214816609239253,0.05088312950171661,0.004096530997247833,1.2729656758128867,24.50039549642671,8.445704155812761,42.93188097608787,modeled,0.012289592991743498,URXP25,URDP25LC,2/3-OHPhe,Phenanthrene,3,core
